B1;B2;B3;B4;B6
An;An;An;An;An
den;den;den;den;den
guen_tigen;guetigen;guen_tigen;guen_tigen;guen_tigen
Le_er;Le_er;Le_er;Le_er;Le_er
,;,;,;,;,
DEmnach;DEmnach;DEmnach;DEmnach;DEmnach
der;der;der;der;der
Author;Author;Author;Author;Author
ge_pueret;ge_pueret;ge_pueret;ge_pueret;ge_pueret
/;/;/;/;/
da§;da§;da§;da§;da§
di§;di§;di§;di§;di§
Buechlein;Buechlein;Buechlein;Buechlein;Buechlein
von;von;von;von;von
vornehmen;vornehmen;vornehmen;vornehmen;vornehmen
ver_taendigen;ver_taendigen;vor_taendigen;ver_taendigen;ver_taendigen
Leuten;Leuthen;Leuten;Leuten;Leuten
/;/;/;/;/
denen;denen;denen;denen;denen
es;es;es;es;es
privatim;privatim;privatim;privatim;privatim
ertheilet;ertheilet;ertheilet;ertheilet;ertheilt
/;/;/;/;/
_ehr;_ehr;_eh_;_eh_;_ehr
beliebet;beliebet;beliebet;beliebet;beliebet
/;/;/;/;/
Es;Es;Es;Es;es
aber;aber;aber;abe_;aber
de§;de§;de§;des;de§
Ab_chreibens;Ab_chreibens;Ab_chreibens;Ab_chreibens;Ab_chreibens
halber;halber;halber;halber;halber
mehr;mehr;mehr;mehr;-
_chwer;_chwer;_chwer;_chwer;-
als;als;als;als;-
dienlich;dienlich;dienlich;dienlich;-
ange_tanden;ange_tanden;ange_tanden;ange_tanden;-
/;/;/;/;/
als;als;als;als;als
hat;hat;hat;hat;hat
mans;mans;mans;man;man
-;-;-;-;es
dem;dem;den;den;den
gemeinen;gemeinen;gemeinen;gemeinen;gemeinen
Nutzen;Nutzen;Nutzen;Nutzen;Nutzen
/;/;/;/;/
auff;auff;auff;auff;auff
dero;derp;dero;dero;dero
anhalten;Anhalten;anhalten;Anhalten;Anhalten
/;/;-;-;-
endlich;endich;endlich;endlich;endlich
zum;zu;zum;zum;zum
Druck;Druck;Druck;Druck;Druck
verfertigen;verfertigen;verfertigen;verfertigen;verfertigen
wollen;wollen;wollen;wollen;wollen
/;/;/;/;/
nicht;nit;nicht;nicht;nicht
gro§;gro§;gro§;gro§;gro§
An_ehen;An_ehen;An_ehen;An_ehen;An_ehen
dadurch;dadurch;dadurch;dadurch;dardurch
zu;-;zu;zu;zu
erjagen;zuerjagen;erjagen;erjagen;erjagen
/;/;/;/;/
_ondern;_onde_;_ondern;_ondern;_ondern
da§;dz;da§;da§;da§
maenniglich;maenniglich;maenniglich;maenniglich;maenniglich
Anleitung;Anleitung;Anleitung;Anleitung;Anleitung
hette;hette;hette;haette;haette
/;-;/;/;/
_ich;_ich;_ich;_ich;_ich
bey;bey;bey;bey;bey
Leuten;Leuten;Leuten;Leuten;Leuten
_o;_o;_o;_o;_o
wol;wol;wol;wol;wol
mit;mit;mit;mit;mit
Worten;Worten;Worten;Worten;Worten
als;als;als;als;als
mit;mit;mit;mit;mit
Thaten;Thaten;Thaten;Thaten;Thaten
vor_ichtig;vor_ichtig;vor_ichtig;vor_ichtig;vor_ichtig
vnaergerlich;vnaergerlich;vnaergerlich;unaergerlich;unaergerlich
in;in;in;in;in
Ehr;Ehr;Ehr;Ehr;Ehr
vnd;vnnd;und;und;u–
Ruhm;Ruhm;Ruhm;Ruhm;Ruhm
zuverhalten;zuverhalten;zuerhalten;zu;zu
-;-;-;erhalten;ve_halten
/;/;/;/;/
damit;damit;damit;damit;damit
man;man;man;man;man
von;von;von;von;von
anderen;andern;andern;andern;andern
Spitzkoepfen;Spitzkoepffen;Spitzkoepff_;Spitzkoepffen;Spitzkoepffen
nit;nit;nicht;nicht;nicht
auffgezogen;auffgezogen;auffgezogen;auffgezogen;auffgezogen
/;/;/;/;-
oder;oder;oder;oder;oder
wol;wol;wol;wol;wol
gar;gar;gar;gar;gar
hintergangen;hindergangen;hintergangen;hintergangen;hintergangen
werde;werde;werde;werde;werde
/;/;/;/;/
weil;weil;weil;weil;weil
ja;ja;ja;ja;ja
/;/;/;/;/
leider;leyder;leider;leider;leider
/;/;/;/;/
das;das;das;das;das
verba;verba;verba;verba;verba
dare;dare;dare;dare;dare
jetzt;jetzt;jetzt;jetzt;jetz
gebraeuchlicher;gebraeuchlicher;gebraeuchlicher;gebraeuchlicher;gebraeuchlicher
vnd;vnnd;und;und;und
politi_cher;Politi_cher;politi_cher;politi_cher;politi_cher
hei__et;hei__et;hei__et;hei__et;hei__et
/;/;/;/;/
als;als;als;als;als
verba;verba;verba;verba;verba
facere;facere;facere;facere;facere
,;,;,;,;,
Es;Es;Es;Es;Es
i_t;i_t;i_t;i_t;i_t
nicht;nit;nicht;nicht;nicht
alles;alles;alles;alles;alles
Gold;Gold;Gold;Gold;Gold
was;was;was;was;was
nach;nach;nach;nach;nach
dem;dem;dem;dem;dem
Golde;Golde;Golde;Golde;Golde
_cheint;_cheint;_cheint;_cheint;_cheint
";";";";";";";";";"
Es;Es;Es;Es;Es
redet;redet;redet;redet;redet
manches;mancher;mancher;mancher;mancher
Mund;Mund;Mund;Mund;Mund
/;/;/;/;/
was;was;was;was;was
_ein;_ein;_ein;_ein;_ein
Hertz;Her_;Hertz;Hertz;Hertz
anders;anders;anders;anders;anders
meint;meynt;meint;meint;meint
,;,;,;,;,
